year,state,population
2007,United States,301231207
2007,Alabama,4672840
2007,Alaska,680300
2007,Arizona,6167681
2007,Arkansas,2848650
2007,California,36250311
2007,Colorado,4803868
2007,Connecticut,3527270
2007,Delaware,871749
2007,District of Columbia,574404
2007,Florida,18367842
2007,Georgia,9349988
2007,Hawaii,1315675
2007,Idaho,1505105
2007,Illinois,12695866
2007,Indiana,6379599
2007,Iowa,2999212
2007,Kansas,2783785
2007,Kentucky,4256672
2007,Louisiana,4375581
2007,Maine,1327040
2007,Maryland,5653408
2007,Massachusetts,6431559
2007,Michigan,10001284
2007,Minnesota,5207203
2007,Mississippi,2928350
2007,Missouri,5887612
2007,Montana,964706
2007,Nebraska,1783440
2007,Nevada,2601072
2007,New Hampshire,1312540
2007,New Jersey,8677885
2007,New Mexico,1990070
2007,New York,19132335
2007,North Carolina,9118037
2007,North Dakota,652822
2007,Ohio,11500468
2007,Oklahoma,3634349
2007,Oregon,3722417
2007,Pennsylvania,12563937
2007,Rhode Island,1057315
2007,South Carolina,4444110
2007,South Dakota,791623
2007,Tennessee,6175727
2007,Texas,23831983
2007,Utah,2597746
2007,Vermont,623481
2007,Virginia,7751000
2007,Washington,6461587
2007,West Virginia,1834052
2007,Wisconsin,5610775
2007,Wyoming,534876
2008,United States,304093966
2008,Alabama,4718206
2008,Alaska,687455
2008,Arizona,6280362
2008,Arkansas,2874554
2008,California,36604337
2008,Colorado,4889730
2008,Connecticut,3545579
2008,Delaware,883874
2008,District of Columbia,580236
2008,Florida,18527305
2008,Georgia,9504843
2008,Hawaii,1332213
2008,Idaho,1534320
2008,Illinois,12747038
2008,Indiana,6424806
2008,Iowa,3016734
2008,Kansas,2808076
2008,Kentucky,4289878
2008,Louisiana,4435586
2008,Maine,1330509
2008,Maryland,5684965
2008,Massachusetts,6468967
2008,Michigan,9946889
2008,Minnesota,5247018
2008,Mississippi,2947806
2008,Missouri,5923916
2008,Montana,976415
2008,Nebraska,1796378
2008,Nevada,2653630
2008,New Hampshire,1315906
2008,New Jersey,8711090
2008,New Mexico,2010662
2008,New York,19212436
2008,North Carolina,9309449
2008,North Dakota,657569
2008,Ohio,11515391
2008,Oklahoma,3668976
2008,Oregon,3768748
2008,Pennsylvania,12612285
2008,Rhode Island,1055003
2008,South Carolina,4528996
2008,South Dakota,799124
2008,Tennessee,6247411
2008,Texas,24309039
2008,Utah,2663029
2008,Vermont,624151
2008,Virginia,7833496
2008,Washington,6562231
2008,West Virginia,1840310
2008,Wisconsin,5640996
2008,Wyoming,546043
2009,United States,306771529
2009,Alabama,4757938
2009,Alaska,698895
2009,Arizona,6343154
2009,Arkansas,2896843
2009,California,36961229
2009,Colorado,4972195
2009,Connecticut,3561807
2009,Delaware,891730
2009,District of Columbia,592228
2009,Florida,18652644
2009,Georgia,9620846
2009,Hawaii,1346717
2009,Idaho,1554439
2009,Illinois,12796778
2009,Indiana,6459325
2009,Iowa,3032870
2009,Kansas,2832704
2009,Kentucky,4317074
2009,Louisiana,4491648
2009,Maine,1329590
2009,Maryland,5730388
2009,Massachusetts,6517613
2009,Michigan,9901591
2009,Minnesota,5281203
2009,Mississippi,2958774
2009,Missouri,5961088
2009,Montana,983982
2009,Nebraska,1812683
2009,Nevada,2684665
2009,New Hampshire,1316102
2009,New Jersey,8755602
2009,New Mexico,2036802
2009,New York,19307066
2009,North Carolina,9449566
2009,North Dakota,664968
2009,Ohio,11528896
2009,Oklahoma,3717572
2009,Oregon,3808600
2009,Pennsylvania,12666858
2009,Rhode Island,1053646
2009,South Carolina,4589872
2009,South Dakota,807067
2009,Tennessee,6306019
2009,Texas,24801761
2009,Utah,2723421
2009,Vermont,624817
2009,Virginia,7925937
2009,Washington,6667426
2009,West Virginia,1847775
2009,Wisconsin,5669264
2009,Wyoming,559851
2010,United States,309349689
2010,Alabama,4785298
2010,Alaska,713985
2010,Arizona,6413737
2010,Arkansas,2921606
2010,California,37349363
2010,Colorado,5049071
2010,Connecticut,3577073
2010,Delaware,899769
2010,District of Columbia,604453
2010,Florida,18843326
2010,Georgia,9712587
2010,Hawaii,1363621
2010,Idaho,1571450
2010,Illinois,12843166
2010,Indiana,6490621
2010,Iowa,3049883
2010,Kansas,2859169
2010,Kentucky,4346266
2010,Louisiana,4544228
2010,Maine,1327567
2010,Maryland,5785982
2010,Massachusetts,6557254
2010,Michigan,9877574
2010,Minnesota,5310584
2010,Mississippi,2970036
2010,Missouri,5996231
2010,Montana,990898
2010,Nebraska,1830429
2010,Nevada,2704642
2010,New Hampshire,1316759
2010,New Jersey,8801624
2010,New Mexico,2065932
2010,New York,19392283
2010,North Carolina,9561558
2010,North Dakota,674499
2010,Ohio,11536182
2010,Oklahoma,3761702
2010,Oregon,3838957
2010,Pennsylvania,12709630
2010,Rhode Island,1052886
2010,South Carolina,4636312
2010,South Dakota,816463
2010,Tennessee,6356897
2010,Texas,25257114
2010,Utah,2776469
2010,Vermont,625960
2010,Virginia,8024617
2010,Washington,6744496
2010,West Virginia,1853973
2010,Wisconsin,5691047
2010,Wyoming,564460
